target_bin,n_test,mean_MAE,sd_MAE
Q1,61,0.33635556260401989,0.034003762675191618
Q2,47,0.2400089303175387,0.029989734184365915
Q3,44,0.30349512064772188,0.013064307558208046
Q4,30,0.30328274898885094,0.018180466816641462
